,Ave Rating
3272,3.59
2577,4.43
2782,3.85
1372,3.96
1855,3.89
1319,4.2
3217,3.98
2440,3.88
375,4.14
1908,3.72
333,4.08
2531,3.9
2583,4.26
2365,3.62
1604,3.48
1118,3.67
3168,4.37
1943,3.57
2541,3.92
2376,4.06
2823,4.45
1342,4.33
320,3.57
1619,4.44
2828,3.99
2060,4.16
2219,3.79
1673,4.07
1942,3.65
260,4.18
2637,4.02
2039,4.21
689,3.93
901,4.11
2306,4.16
2026,3.99
138,4.25
1917,3.8
1828,4.24
1573,3.61
319,3.79
653,4.03
2137,4.2
3180,3.69
558,3.08
2187,3.95
112,3.45
531,3.63
224,3.62
723,3.73
2717,3.6
3314,3.98
1433,1.53
2373,4.24
3299,4.22
2683,4.15
1458,2.07
3026,3.94
846,4.13
193,4.13
1464,3.81
946,3.69
2021,3.78
1629,4.56
117,3.74
645,3.92
1870,3.61
3,3.67
74,4.18
1755,4.15
467,3.94
5,3.46
1246,3.74
919,3.91
228,3.42
1063,4.62
242,4.05
2942,4.17
1160,2.84
2815,3.95
3227,4.2
1526,3.97
1605,3.59
3123,3.78
3335,3.75
2610,3.86
2851,4.33
1989,4.16
2743,4.11
2362,3.83
1975,3.67
1761,4.42
1305,4.12
1541,3.95
622,4.07
2595,3.37
1493,3.66
110,3.84
2275,4.07
2987,3.86
1169,3.27
2754,3.53
232,4.37
66,4.04
3033,4.16
2072,3.83
2192,4.23
536,3.93
125,3.94
2133,3.81
1254,3.82
2780,3.76
1976,4.12
2755,3.86
2609,3.96
2075,4.21
484,3.58
1654,4.29
2998,3.99
2545,4.26
2691,4.34
1774,4.2
2410,4.19
918,3.98
1646,3.32
1026,4.28
1030,4.3
882,3.69
1335,4.14
2496,4.07
364,4.64
2125,3.85
27,3.64
473,3.47
525,3.7
725,3.32
55,3.81
638,3.84
302,3.6
2922,3.92
1276,3.28
2953,4.5
624,4.41
2055,3.59
1280,3.23
1049,4.68
336,3.88
47,3.87
106,3.78
2397,3.36
1079,4.41
2286,4.02
2261,4.2
1144,2.99
2672,4.23
2296,3.67
1836,3.83
1753,4.08
1101,3.9
1968,3.43
3285,4.47
523,3.52
2280,3.79
1428,2.44
2921,3.55
603,3.94
1489,3.65
2634,3.88
60,3.86
3080,3.99
671,3.95
92,4.3
666,3.81
1887,3.7
280,3.8
1719,3.87
359,3.88
899,3.99
1935,3.76
1994,3.95
2594,3.96
760,4.36
2158,3.94
2938,4.07
42,4.18
2173,3.75
204,4.12
1473,3.81
2100,3.97
68,3.87
1875,3.52
2665,4.62
2231,4.2
137,4.01
796,3.94
2180,3.85
2128,4.03
758,3.61
541,3.5
1019,3.94
2846,3.75
165,3.94
248,3.58
1331,3.95
2017,4.06
446,3.61
2482,3.74
1358,4.08
2145,4.18
1329,3.8
3260,3.75
2150,4.14
434,3.78
2122,3.84
577,3.71
2677,4.34
3072,3.7
2448,3.74
1848,3.88
762,4.04
388,4.05
235,4.21
3084,3.88
1984,4.49
267,4.16
770,4.08
2165,3.87
437,3.46
673,4.24
249,4.02
2201,4.32
1574,3.64
2142,4.11
2081,4.15
2933,4.06
2877,4.38
3070,3.98
448,3.28
1469,3.71
716,3.22
2684,4.54
2929,4.38
2048,4.02
1901,3.43
3191,4.17
1168,2.61
82,3.98
2712,4.23
1460,3.37
1893,3.67
1668,4.33
2000,4.15
475,3.47
517,3.15
404,3.72
384,4.34
2722,3.8
2152,4.03
1633,3.88
3201,3.35
688,4.02
1240,3.71
62,4.02
852,3.9
3082,3.93
2772,4.34
1262,3.71
223,3.46
2193,3.5
373,3.97
1824,4.51
2840,3.99
3212,4.02
2910,3.97
3007,4.29
9,3.69
2497,3.92
1944,3.41
1838,3.9
708,4.21
255,3.08
1617,4.35
389,4.16
1581,3.76
924,4.29
2508,3.94
2036,3.78
2689,4.31
1224,3.54
2549,3.99
1946,4.01
739,3.76
40,4.15
868,4.1
539,3.75
2810,4.16
1371,4.01
1145,2.61
1031,3.87
372,3.89
667,4.29
357,3.94
967,3.72
1353,4.04
1035,4.29
470,4.13
1396,3.69
2936,4.18
1549,3.73
1256,3.57
2094,4.34
1555,4.07
2900,3.89
1250,3.77
1699,2.42
1252,3.35
3226,4.31
79,4.35
1172,2.84
814,3.38
1852,3.71
2220,3.38
3298,4.42
2105,3.97
133,3.48
1140,2.34
933,3.69
928,3.91
823,4.22
1531,4.04
1214,3.89
504,3.6
3321,4.21
2395,3.97
1996,3.48
2434,3.78
1958,3.91
1384,3.88
894,3.96
828,4.08
3270,3.57
2523,4.09
1683,4.01
2884,4.28
2865,3.85
2813,4.13
652,4.06
172,3.65
38,4.24
3203,3.44
713,3.66
90,4.03
3308,4.22
1205,2.7
2769,4.13
2896,3.75
1827,4.13
1155,2.46
1324,4.07
216,3.89
510,3.74
1680,4.39
499,3.65
2775,3.87
1856,3.51
1388,3.92
1519,3.64
2386,4.34
3049,3.4
2076,4.52
1540,4.02
1217,3.1
2681,4.37
1416,3.83
2217,3.88
2820,4.1
1676,3.98
1197,3.62
1542,3.98
2539,4.26
953,3.5
2635,4.18
750,3.66
2705,4.21
234,3.95
732,3.39
